printer_id,cartridges
400000026469,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000028894,"400000015579,400000026129,400000030274,400000026130,400000030350,400000013848"
400000026349,"400000030489,400000026346"
400000030991,"400000030965,400000031596"
400000029794,400000029793
400000026542,"400000030383,400000026544"
400000026604,"400000015579,400000026129,400000030272,400000030518,400000030274,400000026130,400000030363,400000013848"
400000026963,"400000030466,400000030467,200000001668,400000026959"
400000026861,"400000019129,400000026952,400000029745"
400000028765,"400000028660,400000028659,400000030585,400000028661,400000028662"
400000033556,
400000032662,
400000033449,
400000027237,"400000030431,400000027209,400000033759"
400000029549,400000030564
400000026214,"400000020244,400000013261,400000021431"
400000026884,"400000030433,400000026941"
400000026900,"400000030537,400000026901"
400000026724,"400000021697,400000023563,200000002469,400000026133,400000015225"
400000032368,"400000031399,400000024114,400000024115,400000031458,400000033198,400000024116,400000031401,400000033199,400000033201,400000033200,400000031400"
400000029727,400000029728
400000026580,"400000016136,400000030389,400000018340"
400000033443,
400000026944,"400000026926,400000030461"
400000029742,400000029744
400000032404,"400000030955,400000032352,400000031444,400000031439,400000032977,400000031570,400000032347,400000032974,400000031440,400000031572,400000031443,400000032350,400000032351,400000032349,400000030956,400000031935,400000032348,400000032346,400000032976,400000032345,400000031571,400000031569,400000032975,400000030953,400000031441,400000031437,400000030954,400000031438,400000031442"
400000033615,400000033513
400000032389,
400000033764,"400000033711,400000033710,400000033712,400000033709"
400000026746,"400000014790,400000030441,400000030440"
400000027280,"400000029061,400000030278,400000017385,400000019681,400000030505,400000030507,400000019642"
400000027264,"400000018136,400000023774,400000016460"
400000029808,400000030592
400000029038,400000030603
400000032461,
400000033668,
400000033763,"400000033711,400000033710,400000033712,400000033709"
400000026801,"400000014788,400000030275,400000030446"
400000026208,"400000030407,400000019126,400000030409"
400000027292,"400000030508,400000029061,400000017385,400000019681,400000030505,400000030507,400000019642"
400000026581,"400000016136,400000030389,400000018340"
400000028466,"400000026727,200000001808,400000012250"
400000026806,"400000024055,400000030276,400000026728,400000030472,400000030473"
400000032632,
400000028946,"400000030507,400000019642,400000030508,400000019681"
400000033298,
400000033687,
400000026978,"400000030496,400000022463,400000019958"
400000026479,"400000030513,400000013234,400000011518,400000013499,400000012388"
400000033520,
400000033159,"400000032839,400000032842,400000031875,400000031668,400000031581,400000031876,400000031873,400000030963,400000032841,400000030964,400000032840,400000030961,400000031669,400000031874,400000030962,400000031582"
400000028851,"400000020349,400000030454,400000030455"
400000030115,"400000030111,400000030116"
400000033175,
400000028927,"400000029972,400000028905"
400000031033,
400000033154,
400000033438,
400000029538,"400000021218,400000022457,400000022456,400000024440,400000029787"
400000028767,"400000028660,400000028659,400000030585,400000028661,400000028662"
400000033584,
400000026369,"200000005717,400000016149"
400000033204,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000031070,
400000033814,
400000026655,"400000014789,200000000415"
400000028682,"400000030604,400000020607,400000020606,400000020608,400000020605"
400000027198,"400000030590,400000027175,400000027174,400000027176,400000027172"
400000029515,
400000032459,400000031360
400000028174,"400000030326,400000025991"
400000033495,
400000032642,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026792,"400000026793,400000030531"
400000029994,200000001638
400000033402,
400000026200,"400000004750,400000030420,400000022931"
400000032476,
400000026473,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000032420,400000024192
400000026243,"400000026136,400000025325,400000030410"
400000029468,"400000014789,200000000415"
400000033125,
400000026607,"400000015579,400000026129,400000030272,400000030518,400000030274,400000026130,400000030363,400000013848"
400000026721,"400000026723,400000030528"
400000029522,400000030589
400000026986,"200000000393,400000012992,400000014970"
400000027098,"400000015579,400000026129,400000014786,400000014981,400000030514"
400000027105,"400000014981,400000014786,400000030514"
400000026334,"400000009942,400000020385,200000001990,400000002721,400000029971,400000008839"
400000027871,"400000020607,400000020606,400000030568,400000020608,400000020605"
400000032672,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026361,"400000026364,400000030491"
400000033258,"400000033047,400000033046,400000033048,400000033045"
400000029791,400000029793
400000029774,400000029776
400000028930,"400000030499,400000030498,400000028905"
400000026567,400000030261
400000026541,"400000030370,400000020348,400000030369,400000021556"
400000028779,400000030582
400000030001,400000029997
400000026417,"400000026405,400000030509"
400000026809,400000014573
400000033427,
400000026239,"400000026135,400000030408,400000024266"
400000028945,"400000030507,400000019642,400000030508,400000019681"
400000033660,
400000033437,
400000032399,"400000030968,400000030969,400000030967,400000030966"
400000026342,"400000022462,400000011690,400000018345"
400000029462,"400000026132,200000001110"
400000028757,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000018144,400000019312,400000032752"
400000032403,"400000030955,400000032352,400000031444,400000031439,400000032977,400000031570,400000032347,400000032974,400000031440,400000031572,400000031443,400000032350,400000032351,400000032349,400000030956,400000031935,400000032348,400000032346,400000032976,400000032345,400000031571,400000031569,400000032975,400000030953,400000031441,400000031437,400000030954,400000031438,400000031442"
400000033404,
400000033745,400000033642
400000033173,
400000026269,"400000030419,400000026266"
400000028892,"400000019120,400000030395,400000020133,400000030363,400000030394,400000021216"
400000032412,
400000026599,"400000015579,400000003115,400000026129,400000030274"
400000026553,"400000015221,400000026131,400000030354,400000015223,400000030202"
400000032682,"400000032480,400000032478,400000032477,400000032479"
400000031076,
400000028658,"400000028660,400000028659,400000030585,400000028661,400000028662"
400000030992,"400000030965,400000031596"
400000026576,200000003714
400000026631,"400000019120,400000030395,400000020133,400000030363,400000030394,400000021216"
400000028171,"400000030326,400000025991"
400000032408,
400000028544,"400000015221,400000023293,400000026131,400000030354,400000015223,400000030202"
400000029786,400000029793
400000026418,"400000030270,400000026727,200000001808,400000012250"
400000026165,"400000030424,400000026166"
400000033280,
400000033792,
400000032414,400000030296
400000033532,
400000026641,"400000030399,400000030400,400000025991"
400000026899,"400000026897,400000030529"
400000028975,"400000027203,400000027202,400000030159,400000029970"
400000032397,
400000026975,"400000030200,400000026969"
400000026974,"400000026970,400000030525,400000030524,400000026971"
400000033420,
400000031045,
400000026629,"400000015579,400000026129,400000014786,400000026499,400000014981,400000030514"
400000026552,"400000015223,400000030202,400000026131,400000023293"
400000029512,400000030430
400000029724,400000029728
400000026477,"400000030513,400000013234,400000011518,400000013499,400000012388"
400000028918,"400000029972,400000028905"
400000028861,"400000030444,400000030445,400000015226"
400000032456,"400000029630,400000031863,400000032152,400000031860,400000031861,400000031862,400000032153"
400000026645,"400000030329,400000026642"
400000026597,"400000015579,400000026129,400000030328"
400000028459,"400000028381,400000030201"
400000026189,"400000030282,400000026195"
400000028803,"400000028813,400000030324"
400000033459,
400000033516,
400000029751,"400000029753,400000030474"
400000033158,"400000032839,400000032842,400000031875,400000031668,400000031581,400000031876,400000031873,400000030963,400000032841,400000030964,400000032840,400000030961,400000031669,400000031874,400000030962,400000031582"
400000027220,"400000027219,400000030497"
400000026341,"400000022462,400000011690,400000018345"
400000026398,"200000000393,400000030364,400000012992,400000014970"
400000033273,
400000026389,"400000030490,400000026378"
400000031436,"400000030669,400000030667,400000024363,400000024364,400000031472,400000031473,400000033320,400000030668,400000033321,400000024348,400000030665,400000033319,400000033322,400000030666"
400000033297,
