printer_id,parts
400000028375,"400000016407,400000009229,400000030633,400000002831,400000015958"
400000028848,"400000027146,200000001644,400000022273"
400000033526,
400000032634,"400000030898,400000030894,400000030897,400000031427,400000033724"
400000033414,
400000033476,400000030896
400000031007,"400000032554,400000031615,400000032260,400000030886,400000031222,400000030947,400000032571,400000030896,400000021871,400000030664,400000030728,400000030898,400000031427,400000030907,400000032570,400000030894,400000030897,400000030887,400000031613"
400000028870,400000016877
400000026984,"400000021214,400000010374,400000011851,400000002831,400000025157,400000015958,400000011757"
400000026220,400000018342
400000033445,"400000033730,400000031931,400000031871,400000033724"
400000033450,
400000028862,"400000021245,400000027147"
400000033203,
400000027686,"400000030894,400000030895,400000011450,400000031615,400000030896,400000021871,400000016173"
400000033518,
400000026706,400000016210
400000032430,"400000031222,400000031615,400000030950,400000030898"
400000026402,"400000021214,400000010374,400000011851,400000002831,400000025157,400000015958,400000011757"
400000026964,400000007891
400000026227,"400000024601,400000030644,400000030643,400000022503"
400000026932,400000022448
400000033406,
400000026416,400000015958
400000033819,"400000031931,400000033186"
400000026915,
400000033392,400000031820
400000032416,"400000032908,400000031866,400000031615,400000032173,400000031868,400000033724"
400000026161,
400000026862,"400000013639,400000021245,400000021434"
400000026719,"400000025156,400000021215,400000030640"
400000028460,400000002831
400000026872,"400000030638,400000021245"
400000033486,
400000026365,
400000026231,"400000030882,400000024601,400000024174,400000024602"
400000032464,"400000032148,400000032684,400000032147,400000032683"
400000026795,
400000027215,400000023565
400000026949,
400000033268,400000033194
400000027801,"400000015427,400000022933,400000030612"
400000030989,
400000028546,"400000016407,400000002831,400000015958"
400000030979,"400000031434,400000033742,400000031366,400000032258,400000031512,400000031514,400000033730,400000030949,400000033720,400000031429,400000030970,400000031513,400000031365,400000031511,400000033724"
400000026337,400000024601
400000028944,400000027142
400000033330,"400000030898,400000030894,400000030897,400000031427,400000030896"
400000033540,400000030896
400000027245,"400000024601,400000024174,400000024602"
400000032451,"400000030670,400000033701,400000031803,400000031934,400000031931,400000033188,400000031819,400000033185,400000033724,400000031431,400000031115,400000031871,400000033700,400000033730,400000033187,400000032838,400000031521,400000030671,400000033346,400000032978,400000031823,400000031820,400000030672,400000030673,400000033189,400000033729,400000033725,400000033192,400000033186,400000033191"
400000028954,400000025926
400000026512,
400000033277,"400000033194,400000033195"
400000032396,"400000033723,400000033638,400000033701,400000033633,400000031615,400000031931,400000033699,400000033721,400000031819,400000033240,400000033635,400000033724,400000031859,400000033639,400000033722,400000031929,400000031516,400000031115,400000031871,400000031435,400000031346,400000033700,400000033730,400000031470,400000033713,400000032870,400000031518,400000033631,400000031430,400000033728,400000031469,400000033180,400000031422,400000032259,400000033636,400000031420,400000033181,400000033703,400000033731,400000031820,400000033183,400000031517,400000033729,400000031471,400000030973,400000033182,400000032836,400000033725,400000033727,400000033702,400000031515,400000033184,400000031229,400000033720,400000033632,400000033732"
400000032386,"400000031520,400000032568,400000031612,400000031615,400000032105,400000033724,400000032569,400000031222,400000030947,400000032571,400000031673,400000030896,400000021871,400000031087,400000030898,400000032106,400000032500,400000030946,400000032570,400000030894,400000030897,400000016173"
400000027123,"400000030344,400000025158"
400000026681,"400000011148,400000025156,400000021215,400000030640"
400000029729,
400000026942,
400000027874,"400000016907,400000016908,400000022933,400000029033"
400000027272,400000023678
400000032365,"400000032570,400000030894,400000030898,400000032569,400000032554,400000030947,400000031613,400000031427,400000032571,400000031615,400000030896,400000031675,400000031674,400000032260,400000021871,400000031087,400000031676,400000033724"
400000027307,"400000029975,400000033101"
400000033441,"400000030897,400000030898,400000030894,400000033724"
400000013451,"400000030651,400000030648,400000033383,400000030881,400000024153,400000024174,400000030649,400000030882,400000030650,400000024601,400000030647,400000030652"
400000026961,400000007891
400000033789,400000033697
400000033756,400000032005
400000026902,400000021215
400000026201,"400000024601,400000030644,400000030643"
400000027762,"400000020609,400000022933,400000024216"
400000028924,400000023607
400000028966,400000025926
400000026448,"400000017602,400000026018,400000033100,400000030345"
400000033652,400000033573
400000033435,"400000031820,400000030896"
400000033460,400000030896
400000028828,"400000030635,400000030344,400000025158,400000027144"
400000028777,"400000029033,400000011107,400000026157,400000016908,400000016907"
400000027804,"400000016907,400000029033,400000011107,400000026157,400000022933,400000015427"
400000026453,"400000017602,400000026018,400000033100"
400000029000,400000023565
400000026500,"400000016407,400000009229,400000030633,400000002831,400000015958"
400000033659,400000033573
400000029722,
400000032636,"400000031851,400000033246,400000033247,400000032562,400000032574,400000031853,400000033245,400000032567,400000031850,400000031852"
400000026905,"400000024172,400000022448"
400000033536,
400000027208,400000023565
400000026203,"400000024601,400000030644"
400000028104,"400000030642,400000023678"
400000026374,
400000032378,"400000031520,400000032568,400000031615,400000030906,400000031918,400000032569,400000031222,400000032571,400000030896,400000031611,400000021871,400000030888,400000032500,400000031919,400000030945,400000030946,400000032570,400000030894,400000031920"
400000029506,400000021560
400000032431,"400000031203,400000031434,400000031510,400000033725,400000032258,400000031204,400000031871,400000031205,400000033730,400000030949,400000033720,400000031931,400000031429,400000031206,400000033185,400000033724"
400000028827,"400000030635,400000030344,400000025158,400000027144"
400000029726,
400000031019,"400000030907,400000032570,400000030664,400000030728,400000030894,400000030897,400000030887,400000031615,400000030886,400000033724"
400000026921,
400000033397,
400000026603,"400000017602,400000030017,400000022453,400000030632,400000014883,400000012999,400000030165,400000030021,400000030314,400000030020,400000030312,400000009850"
400000026255,400000024174
400000028950,400000025926
400000026420,"400000010374,400000033095,400000002831,400000015958,400000011757"
400000026936,"400000022448,400000021560"
400000026750,"400000027145,400000033603,400000010377,400000032007,400000030637"
400000033519,
400000033426,
400000027273,400000023678
400000026744,"400000025156,400000021215,400000030640"
400000031030,"400000033723,400000033638,400000033701,400000033633,400000031931,400000033699,400000033721,400000031819,400000033240,400000033635,400000033724,400000031859,400000033639,400000033722,400000031929,400000031516,400000031115,400000031871,400000031435,400000031346,400000033700,400000033730,400000031470,400000033713,400000032870,400000031518,400000033631,400000031430,400000033728,400000031469,400000033180,400000031422,400000032259,400000033636,400000033346,400000031420,400000033181,400000033703,400000033731,400000031820,400000033183,400000031517,400000033729,400000031471,400000030973,400000033182,400000032836,400000033725,400000033727,400000031515,400000033184,400000031229,400000033720,400000033632"
400000026399,"400000021214,400000010374,400000011851,400000002831,400000025157,400000015958,400000011757"
400000032385,"400000032570,400000030894,400000030898,400000030897,400000031222,400000030947,400000031613,400000031427,400000032571,400000032568,400000031615,400000031684,400000030896,400000021871,400000033724"
400000029007,"400000022452,400000015503"
400000030102,
400000028833,"400000030635,400000025158"
400000026153,
400000026549,"400000021214,400000021558,400000013502,400000030313,400000030636,400000002831,400000015958,400000030165,400000030314"
400000026732,"400000025156,400000021215"
400000026422,
