printer_id,cartridges,parts
400000029482,,"400000011450,400000030894,400000016173,400000032570,400000013494,400000030896,400000032257,400000030895,400000031615,400000021871"
400000032466,"400000031829,400000031827","400000032148,400000032684,400000032147"
400000026335,,"400000024174,400000024601"
400000026604,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999,400000022453"
400000032452,,"400000033346,400000031803,400000033187,400000031431,400000030671,400000030673,400000031871,400000033185,400000031931,400000031934,400000032978,400000033191,400000031115,400000031823,400000033720,400000033186"
400000026785,,400000014982
400000030990,,"400000031460,400000033575,400000033573"
400000026231,,"400000024601,400000024174,400000024602"
400000027908,"400000016596,400000016081,400000016957,400000016080","400000016908,400000026157,400000022933,400000015427"
400000026349,,"400000030655,400000026704"
400000032424,,"400000031460,400000033575,400000033573"
400000026470,400000013499,"400000009229,400000002831,400000009931,400000021698,400000021558,400000033096,400000016407"
400000027265,400000018136,
400000026502,400000013499,"400000009229,400000002831,400000016407"
400000013451,,"400000030652,400000030648,400000024153,400000030650,400000033383,400000024601,400000024174"
400000026242,400000025325,
400000031031,,"400000030894,400000031222,400000032570,400000031611,400000030896,400000030897,400000032568,400000030895,400000016173,400000031615,400000021871"
400000031070,,"400000030894,400000031364,400000030895,400000031817,400000031615"
400000028806,,"400000030017,400000030314,400000009850"
400000029775,,"400000024174,400000024602,400000024601"
400000028943,400000028961,"400000030641,400000025926"
400000032366,400000032353,"400000030894,400000031867,400000031615,400000032908"
400000028828,400000027258,"400000030635,400000027144,400000025158,400000030344"
400000027793,"400000032753,400000032752,400000032755,400000032754","400000015427,400000022933,400000030612"
400000028762,,"400000026157,400000022933,400000015427"
400000033259,,"400000033194,400000033195"
400000026573,,400000015038
400000028351,,"400000033097,400000002831,400000011759,400000020431"
400000029994,200000001638,
400000027279,"400000019642,400000019681",
400000032454,"400000031862,400000029630,400000031860,400000032153,400000031863","400000031922,400000030894,400000032570,400000031427,400000030897,400000031104,400000021871"
400000028832,,"400000030635,400000025158"
400000026605,"400000013848,400000026130,400000015579","400000009850,400000012999,400000022453"
400000033163,"400000031099,400000031102,400000031100,400000031101,400000032115","400000033719,400000033359,400000033244,400000033361,400000033651,400000033360,400000033338"
400000026393,,"400000033097,400000002831,400000011759"
400000033430,,400000030896
400000033276,,"400000033194,400000033195"
400000026809,,400000021215
400000028510,400000012250,"400000002831,400000021698,400000033095"
400000028799,,"400000030017,400000030314,400000009850"
400000026980,400000020132,400000022278
400000033431,,400000030896
400000028676,,"400000022933,400000002802"
400000032675,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000033704,400000032562,400000033247,400000031851,400000031853"
400000029552,,400000021766
400000027122,400000023293,"400000021214,400000002831,400000030165,400000013502"
400000026761,,"200000001644,400000013576,400000022273"
400000027767,,400000022933
400000026660,400000012655,"200000001644,400000022273"
400000029488,"400000029492,400000029494,400000029495,400000029493","400000030907,400000032570,400000031611,400000030895,400000031615,400000030894,400000031222,400000030946,400000030896,400000030886,400000030945,400000016173,400000021871,400000031427,400000030887,400000031920,400000032569,400000032568"
400000026269,,"400000017716,400000030652,400000030648,400000030650,400000024601,400000033383,400000024174"
400000032418,400000024192,"400000031867,400000031868"
400000026262,,"400000030648,400000024153,400000033101,400000030650,400000024601,400000033383,400000024174"
400000028172,400000025991,400000033101
400000028881,400000015579,"400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999,400000022453"
400000027765,,400000022933
400000028767,,"400000026157,400000022933"
400000028733,"400000032753,400000032752,400000032755,400000032754,400000018144","400000015427,400000022933,400000030612"
400000028729,"400000032753,400000032752,400000032755,400000032754,400000018144","400000015427,400000022933,400000030612"
400000033331,400000031360,"400000031923,400000031615,400000032908"
400000028468,,"400000033097,400000002831,400000011759"
400000028516,400000023293,"400000013502,400000002831,400000021214"
400000026678,,"400000025156,400000030640,400000021215"
400000026965,400000015224,
400000033284,,"400000033194,400000033195"
400000027277,400000018695,400000023678
400000026212,,"400000030646,400000024601"
400000033436,,400000030896
400000033285,,"400000033194,400000033195"
400000033253,,"400000033194,400000033195"
400000028512,400000023293,"400000013502,400000002831,400000021214"
400000026722,,"400000025156,400000021215"
400000029528,400000029529,"400000033245,400000033246,400000033704,400000022461,400000022460"
400000026896,400000019459,400000021215
400000032405,"400000031924,400000031926,400000032968,400000032970,400000031927,400000032969,400000031925","400000031837,400000033580,400000032581,400000031840,400000031844,400000032104,400000031836,400000032108,400000031838,400000031841,400000031842,400000031843,400000033579,400000033573,400000032577,400000031839,400000033575,400000032516,400000032576,400000032150,400000032121,400000033578,400000032629,400000032151,400000033581"
400000032460,,"400000031932,400000032908"
400000032678,,"400000032686,400000032688,400000032687"
400000028811,,"400000030017,400000030314,400000009850"
400000026540,"400000030369,400000020348,400000021556",400000015038
400000033669,,400000030950
